###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57668.348453 -21.728  2.048    -7   15 c  0   1.04 341.47850  37.72398   318.17  4604.37 3.93 3.69  72.2 -0.385 19.53 21.41 02a57668o0288c
57668.358838  22.110  2.400     5   12 c  0   1.36 341.47850  37.72398   286.65  4565.59 3.90 3.66  68.1 -0.385 19.57 21.47 02a57668o0309c
57668.365341  20.495  0.750    23   17 c  0   0.80 341.47850  37.72398 10013.53  4652.44 4.03 3.46  84.9 -0.422 19.57 21.47 02a57668o0322c
57668.371327  21.489  1.423     9   13 c  0   1.08 341.47850  37.72398   348.48  4639.65 3.94 3.69  66.7 -0.386 19.58 21.48 02a57668o0334c
57668.373300  21.244  1.219    12   14 c  0   1.37 341.47850  37.72398  9997.38  4612.03 4.04 3.47  85.2 -0.420 19.58 21.50 02a57668o0338c
57668.380213  20.646  0.732    20   15 c  0   1.07 341.47850  37.72398 10042.69  4691.69 4.00 3.45  85.5 -0.425 19.59 21.51 02a57668o0352c
57668.381216 -22.636  4.111    -3   13 c  0   1.07 341.47850  37.72398   363.13  4521.50 3.95 3.69  73.1 -0.380 19.56 21.47 02a57668o0354c
57668.389690 -21.435  1.444   -10   14 c  0   1.22 341.47850  37.72398   333.27  4587.60 3.94 3.74  74.3 -0.377 19.57 21.50 02a57668o0371c
57668.403932  20.909  1.023    16   16 c  0   0.86 341.47850  37.72398 10074.48  4578.05 4.01 3.41  85.2 -0.428 19.59 21.52 02a57668o0400c
57668.409193 -23.017  7.000    -2   16 c  0   0.98 341.47850  37.72398 10023.87  4638.90 4.05 3.53  83.8 -0.419 19.56 21.51 02a57668o0410c
57674.349023 -20.099  1.219   -33   40 o  0   1.12 341.47850  37.72398  9455.98  5704.30 4.96 3.97   1.7 -0.357 18.35 19.51 02a57674o0317o
57674.353942 -20.043  1.169   -35   41 o  0   1.01 341.47850  37.72398  9456.88  5684.49 4.20 3.89   3.7 -0.409 18.45 19.51 02a57674o0327o
57674.363594  19.553  0.693    55   38 o  0   1.12 341.47850  37.72398  9454.10  5706.08 4.50 3.88   5.0 -0.403 18.42 19.52 02a57674o0346o
57674.376908 -19.364  0.527   -65   34 o  0   0.97 341.47850  37.72398  9457.25  5687.86 3.74 3.15 -88.8 -0.449 18.60 19.52 02a57674o0373o
57674.382231  19.356  0.551    66   36 o  0   1.09 341.47850  37.72398  9452.33  5703.47 3.75 3.36  87.5 -0.455 18.58 19.52 02a57674o0383o
